id,Name,titleProject_id,class,score
0,Сербин Геннадий Михаилович,7,8в,3.875
1,Папандина Клавдия Яковлевна,304,9в,3.5
2,Белагина Галина Андреевна,396,9а,3.6
3,Кижняева Анна Леонидовна,178,7и,3.438
4,Цывин Олег Яковлевич,446,7т,2.6
5,Жидняева Ксения Эдуардовна,373,7х,3.786
6,Липковский Анатолий Иванович,144,10а,3.529
7,Меднова Наталья Богдановна,290,7и,3.438
8,Житихин Вячеслав Романович,141,9а,3.6
9,Шеврина Полина Максимовна,33,11а,3.583
10,Алпеев Валентин Данилович,323,8а,3.583
11,Золикова Клара Игоревна,364,10х,3.625
12,Дориков Дмитрий Петрович,296,10г,3.5
13,Корабышев Кирилл Михаилович,302,8и,3.474
14,Ростовиков Константин Николаевич,336,10а,3.529
15,Нехаев Дмитрий Фёдорович,129,7х,3.786
16,Зызлова Мария Николаевна,430,8г,3.417
17,Королупов Валерий Тимофеевич,397,10д,3.312
18,Стенцов Евгений Яковлевич,315,8и,3.474
19,Феклисов Константин Виталиевич,270,9т,None
20,Синелев Руслан Тимофеевич,300,8и,3.474
21,Опевалова Вера Евгеньевна,473,9д,3.438
22,Назерова Вероника Василевна,206,7б,3.75
23,Дименская Светлана Дмитриевна,387,9д,3.438
24,Ковторева Раиса Василевна,482,9и,3.533
25,Кулишнин Вячеслав Яковлевич,386,11х,3.818
26,Лексин Кирилл Антонович,139,7в,3.429
27,Лаковский Григорий Василиевич,240,7д,3.4
28,Барамыкова Александра Алексеевна,106,10а,3.529
29,Плясулина Оксана Андреевна,346,8х,3.25
30,Петрикеев Станислав Яковлевич,14,7и,3.438
31,Моторыгин Илья Георгиевич,238,10и,3.667
32,Рыков Тарас Павлович,174,10и,3.667
33,Иончикова Елизавета Егоровна,169,8д,3.667
34,Смолькина Алиса Егоровна,441,7г,4.0
35,Оболенин Герасим Павлович,472,7и,3.438
36,Трощинский Георгий Борисович,67,9д,3.438
37,Поддубская Лиза Игоревна,496,10а,3.529
38,Телькова Валерия Олеговна,335,7х,3.786
39,Чигварина Александра Алексеевна,428,10б,3.429
40,Киреевский Артур Игоревич,119,7в,3.429
41,Шумейкин Роман Павлович,420,8в,3.875
42,Трушинов Максим Алексиевич,82,8и,3.474
43,Голюков Денис Сергеевич,62,11б,3.583
44,Хлиманкова Надежда Валерьевна,461,10б,3.429
45,Кулаженков Алексей Олегович,367,10в,3.455
46,Бутукин Владимир Адамович,221,7х,3.786
47,Поддуев Леонид Олегович,149,9х,3.2
48,Ревцев Василий Павлович,360,9х,3.2
49,Старокожев Артём Юрьевич,46,8д,3.667
50,Светошев Максим Михаилович,321,10х,3.625
51,Старынина Кристина Федоровна,266,9д,3.438
52,Востров Дмитрий Денисович,282,9г,3.1
53,Бураханова Анастасия Леонидовна,16,8г,3.417
54,Понизов Виктор Кириллович,214,11и,3.375
55,Суздалев Валерий Алексеевич,66,11т,3.6
56,Колендин Дмитрий Алексеевич,153,10в,3.455
57,Сулькова Екатерина Андреевна,325,8и,3.474
58,Аржевитова Надежда Федоровна,242,10в,3.455
59,Крассов Валерий Олегович,201,8х,3.25
60,Сонураева Инна Андреевна,450,9т,3.722
61,Пашин Роман Вадимович,204,10д,3.312
62,Фичкина Евгения Федоровна,29,11д,4.222
63,Свилин Олег Виталиевич,123,8в,3.875
64,Рогоцкий Андрей Адамович,142,9в,3.5
65,Ахантьев Игорь Валериевич,80,10д,3.312
66,Сочиникова Ксения Кирилловна,100,10д,3.312
67,Остюков Артур Романович,329,11и,3.375
68,Брюкина Оксана Викторовна,98,8в,3.875
69,Кузовенков Игорь Юрьевич,322,9г,None
70,Калухов Тарас Иванович,207,11а,3.583
71,Батыров Пётр Виталиевич,227,7и,3.438
72,Озрина Катерина Валерьевна,147,10а,3.529
73,Декалова Полина Леонидовна,470,11д,4.222
74,Лосицкий Владимир Кириллович,369,9т,3.722
75,Магнусов Пётр Максимович,437,7и,3.438
76,Лавренков Михаил Василиевич,188,9б,3.118
77,Шушкалова Вероника Алексеевна,411,8т,4.0
